0,1,2
-0.548921605338591,-0.7969083232629405,-0.5243369365143006
-0.4375467475904365,-0.8677336020731393,-0.5182527580424008
-0.4959825223757673,-0.3170363190935142,-0.5441593005036504
-0.3569042548150722,-0.8763086666760767,-0.5566895971533059
-0.2420721167924419,-0.6619801625206552,-0.40723163881894753
-0.662868926709294,-0.544104509379978,-0.7541753223275832
-0.244994044770781,-0.5973420239507429,-0.6001903574219667
-0.4455427230291604,-0.5382799721805089,-0.06474089880586294
-0.4193666448317487,-0.4077440264478287,-0.4746053350017892
-0.5358567102078218,-0.6265879513468224,-0.5377167110095018
-0.7334532156964895,-0.44516635621752615,-0.6728617489697473
-0.16995664262641436,-0.4785319028846538,-0.5373454779466881
-0.3044223706311076,-0.49104611862534514,-0.6186020880986871
-0.40341784670383185,-0.7097325377926856,-0.3845213433786724
-0.7214450025139223,-0.5674046354810938,-0.40368758137816185
-0.5235324645439184,-0.6029178225399152,-0.4826897963066676
-0.35376165173619745,-0.7505273548928927,-0.4401918807109542
-0.7500423135130047,-0.5463818435870743,-0.4327375325960812
-0.5273237785859929,-0.38870965989018647,-0.7132368592372866
-0.5621524766297062,-0.572503607633776,-0.5221064291705511
-0.27518187349982337,-0.39276138565007196,-0.6921787805649847
-0.42000410627587775,-0.5210610095147216,-0.41595425589466206
-0.015269982995654532,-0.31939736685168485,-0.4548198688815196
-0.366358931230754,-0.3908388425228669,-0.205613252947217
-0.29253272826560195,-0.6485948747830426,-0.5664004363210774
-0.7860129446864853,-0.5089940056745733,-0.45758914974473486
-0.46032573952809325,-0.45688772042260073,-0.5813898609212733
-0.37130164315683867,-0.5771817034836108,-0.4070354710791504
-0.6451940406873655,-0.4670614891160206,-0.6667236155298087
-0.48843217135629613,-0.5818523484248247,-0.5446734407686038
-0.5850852977973507,-0.31691953418095686,-0.3776947110231978
-0.6535202145997585,-0.5410396188884654,-0.5179915251545135
-0.5604202374521863,-0.37307858510046765,-0.39473521059908906
-0.5376393535812418,-0.3424479550649314,-0.8224641072554223
-0.5689794145875536,-0.5991332174311459,-0.48026423319412254
-0.5791306609736088,-0.4978527302837664,-0.5271763330700323
-0.6612341976222951,-0.40512706041701513,-0.6549786273053171
-0.4080384697791861,-0.7659661648193846,-0.361513392711482
-0.40336609153836855,-0.4613495660801253,-0.5785111909775952
-0.27931695958291447,-0.7293286753846965,-0.44111956960219006
-0.34935844492073054,-0.45036304258885757,-0.47180371109325614
-0.740400404692486,-0.6683766049241001,-0.7176878339763533
-0.23255905132133706,-0.4697048946252394,-0.5441363108853071
-0.13628504383510187,-0.7073658936401509,-0.5380693324964773
-0.5239639046246302,-0.547419018515488,-0.5136451994377006
-0.15699165950940808,-0.4108479845913697,-0.48191466674200956
-0.2982621177798252,-0.4381939583599178,-0.4879098335324996
-0.4908431885661928,-0.519871401767455,-0.770294766705444
-0.3828184172836021,-0.6747488950252168,-0.594344892250938
-0.3049063299932842,-0.5318524170590868,-0.6715678071410796
-0.4705591340413703,-0.5962070502691043,-0.221538952799042
-0.41724697850712733,-0.574341932170341,-0.7967517580745318
-0.516890479963489,-0.5560742519150927,-0.7682872519126119
