0,1,2,3,4,5,6,7,8,9
-0.41748222533727686,-1.3483554469440029,-0.6777324972979919,-0.9607232619702328,-0.899646899876845,-0.672414138314063,-0.32085421032188954,-0.884329555637539,0.8691623042635945,0.8138734226699273
-0.3055955297211169,-1.072900994639581,-0.4740838034800773,-0.8134997015821277,-0.6007205397389198,-0.072092085240411,0.26012373891569834,-0.8123293851528038,0.27841765579039757,0.6253204468149529
-0.1332564839057708,-0.8199714339242206,-0.4255121969291444,-0.5899060014625658,-0.6292161393452917,0.04106263901028284,0.19773488816152518,-1.1286290562745316,0.5778528519278787,0.44450987434422606
-0.19500835311713308,-0.8855851528113343,-0.43105805312936957,-0.855751722723533,-0.7428900965269214,-0.10110831164965423,0.03688770827363852,-1.0612321642758933,0.7259145454814274,0.494950150601415
-0.19417112894390842,-1.0152380494171556,-0.6965296668286388,-0.5151037693501481,-0.8476120826211548,-0.6033257428359688,-0.0014100775181500325,-0.9696309360616308,0.6519457352406997,0.3686550671255822
-0.28540805463032587,-1.329772839817521,-0.6137440106915195,-0.645708279314371,-0.9847020522204556,-0.27004293843765476,0.007759109360859995,-0.959385113096281,0.7128048537819496,0.4685160890316005
-0.08760580806423943,-1.309726934044237,-0.7227885364136526,-0.37022559989939446,-1.273556704117147,-0.8247757802854941,-0.06184155105412659,-1.1467909946129389,0.4935824900629545,0.392072296006836
-0.4640993153947437,-0.8514388781460871,-0.4131792213296645,-0.5929310016355094,-0.7147779941193386,-0.5835042928741644,0.009097630825418479,-0.5492415179991105,0.3308276038388906,0.28047983641306407
-0.40015004640193563,-0.8464178028231858,-0.5852483750864763,-0.6991886206997426,-0.6456531479943888,-0.21454993647035386,-0.08502603913859519,-1.1601458750256124,0.6472845596473676,0.47747949486323144
-0.31293374973571664,-1.2182998080499363,-0.790698505558483,-0.9233984944495855,-1.0436742796816625,-0.553528749258105,-0.292977068118987,-0.5841718138628461,0.7379029041849929,0.7092579418116117
-0.35472717614516797,-1.1945430726972717,-0.5425722025227326,-0.8213773784444446,-0.8851129565474288,0.018886008937333776,0.3076799821009669,-1.1721167669512567,0.3034849352882236,0.7108806031969414
-0.370051164616097,-0.9074572348861871,-0.5523415202420223,-0.9543435714349613,-0.5463372078646527,-0.09455290640082342,0.035376575456965265,-1.0011125947955615,0.5951551716090208,0.5745425496230131
-0.3015711872063376,-1.3095204696992206,-0.5194898435129208,-0.5623791024594235,-0.7375711301430452,-0.2333439051457104,0.3538441094542379,-0.8097362267038197,0.11975682343876543,0.3438532316244289
-0.0837189441025071,-0.9081175782483882,-0.4845183600806679,-0.426161491711276,-0.6696585401408837,-0.36710919112159984,0.0634085145302295,-0.8858917963787669,0.36815723534997413,0.4887343176482411
-0.24085957188802815,-1.190222938054272,-0.7347030721134483,-0.616111273752372,-0.9512227051989202,-0.3138629059036141,0.03479905110956505,-0.8439740537842486,0.8432205130821836,0.4736004779106199
-0.33848211139070083,-1.264668795069382,-0.6810338005326861,-0.6832930798945444,-0.8118495175083824,-0.5991498934108282,0.009930320242817925,-0.9930534408179374,0.5013677199947664,0.6393258055503871
-0.24930800518451823,-0.9565381361776446,-0.5932599202414458,-0.9732338428525434,-0.7856125026169372,-0.6059563444800458,-0.007472661095486166,-0.42354755245243303,0.5613590744790855,0.4677754143014895
